vin,make,model,year,trim,style,odometer,,,,,,,,,,,,,,,,,,,,,,
1C4RJFBG3GC334954,Jeep,Grand Cherokee,2016,Limited,4x4 Limited 4dr SUV,22745,,,,,,,,,,,,,,,,,,,,,,
1N4AA5AP9BC852347,Nissan,Maxima,2011,3.5 SV,3.5 SV 4dr Sedan,40951,,,,,,,,,,,,,,,,,,,,,,
3FA6P0HR8DR234777,Ford,Fusion,2013,SE,SE 4dr Sedan,40026,,,,,,,,,,,,,,,,,,,,,,
3C3CFFJH3ET188465,FIAT,500c,2014,GQ Edition,GQ Edition 2dr Convertible,2673,,,,,,,,,,,,,,,,,,,,,,
JTJHY7AX3E4161472,Lexus,LX 570,2014,,570 4dr SUV 4WD,20484,,,,,,,,,,,,,,,,,,,,,,
JHMCR5F79EC000121,Honda,Accord Plug-In,2014,Base,Base 4dr Sedan,45256,,,,,,,,,,,,,,,,,,,,,,
2C3CDXCT5GH196656,Dodge,Charger,2016,R/T,R/T 4dr Sedan,17641,,,,,,,,,,,,,,,,,,,,,,
JTHKD5BH7D2127933,Lexus,CT 200h,2013,,4dr Hatchback,19539,,,,,,,,,,,,,,,,,,,,,,
5UXXW3C58G0R19601,BMW,X4,2016,xDrive28i,AWD xDrive28i 4dr SUV,18276,,,,,,,,,,,,,,,,,,,,,,
2G61N5S34F9289816,Cadillac,XTS,2015,Luxury,Luxury 4dr Sedan All Wheel Drive,17862,,,,,,,,,,,,,,,,,,,,,,
1FM5K8GT0GGC25692,Ford,Explorer,2016,Sport,Sport 4dr SUV AWD,20829,,,,,,,,,,,,,,,,,,,,,,
1GCHSBEAXG1100511,Chevrolet,Colorado,2016,Work Truck,4x2 Work Truck 4dr Extended Cab 6 ft. LB,2359,,,,,,,,,,,,,,,,,,,,,,
4T1BK1FK4EU548760,Toyota,Camry,2014,XLE V6,XLE V6 4dr Sedan,20082,,,,,,,,,,,,,,,,,,,,,,
1FTEW1CF9FFA87560,Ford,F-150,2015,Lariat,4x2 Lariat 4dr SuperCrew 5.5 ft. SB,18440,,,,,,,,,,,,,,,,,,,,,,
1G6DV1EPXD0170843,Cadillac,CTS-V,2013,Base,2dr Coupe,21209,,,,,,,,,,,,,,,,,,,,,,
WA1LFAFP7CA117086,Audi,Q5,2012,2.0T quattro Premium Plus,AWD 2.0T quattro Premium Plus 4dr SUV,38346,,,,,,,,,,,,,,,,,,,,,,
